ID,Urne,QR-Code,Categorie,1 - Ameliorer l accueil des sportifs dans le 12e arrondissement,2 - Renover nos Terrains d’Education Physique (TEP),3 - Faire du 12e un arrondissement plus solidaire,4 - Realiser deux amenagements ponctuels et mesurer la pollution sonore,"5 - Sublimer nos squares, parcs et jardins",6 - Ameliorer le quotidien des eleves du 12e,7 - Faisons du 12e un arrondissement toujours plus culturel !,8 - Renovons notre Patrimoine,9 - Restaurer la facade de l eglise du Rendez vous,10 - Ameliorer le quotidien des habitant·e·s du quartier Bel-Air Nord,11 - Renforcer l accessibilite et l inclusivite dans le 12e arrondissement,12 - Valoriser les squares du quartier Erard-Rozanoff,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
205046,U12-010,2022AR12B,Nul,1,1,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,3,3,0,0,0,9
205051,U12-010,2022AR12A,Nul,novote,novote,novote,novote,novote,novote,1,3,3,novote,novote,novote,3,1,0,2,0,9
205055,U12-005,2022AR12B,Valide,novote,novote,1,2,novote,novote,1,novote,novote,novote,1,novote,4,3,1,0,0,8
205058,U12-008,2022AR12B,Valide,1,1,1,1,1,1,1,2,2,2,1,1,12,9,3,0,0,0
205059,U12-003,2022AR12B,Valide,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,novote,4,4,0,0,0,8
205069,U12-008,2022AR12B,Valide,4,3,2,1,2,3,3,3,3,1,1,1,12,4,2,5,1,0
205074,U12-010,2022AR12B,Valide,novote,novote,4,4,novote,novote,4,novote,novote,1,novote,novote,4,1,0,0,3,8
205078,U12-010,2022AR12A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
205081,U12-008,2022AR12B,Valide,1,1,1,1,1,1,1,1,1,3,1,3,12,10,0,2,0,0
205090,U12-008,2022AR12A,Valide,novote,novote,1,novote,novote,1,1,novote,novote,novote,1,novote,4,4,0,0,0,8
205092,U12-016,2022AR12A,Nul,1,2,3,3,1,1,1,2,1 3,1,2,1,11,6,3,2,0,0
205094,U12-010,2022AR12B,Valide,1,1,novote,2,3,1,novote,novote,novote,novote,novote,novote,5,3,1,1,0,7
205095,U12-008,2022AR12B,Valide,2,2,1,1,1,1,1,1,2,1,1,1,12,9,3,0,0,0
205104,U12-008,2022AR12A,Valide,2,novote,2,novote,1,novote,1,novote,novote,novote,novote,novote,4,2,2,0,0,8
205114,U12-008,2022AR12B,Valide,2,2,2,1,1,1,2,2,2,2,2,2,12,3,9,0,0,0
